,Player,Team,year,age,birth_date
0,Giannis Antetokounmpo, MIL,2020.0,25.0,1994-12-06
1,James Harden, HOU,2020.0,30.33333333333333,1989-08-26
2,Luka Doncic, DAL,,,
3,Anthony Davis, LAL,2020.0,26.75,1993-03-11
4,Damian Lillard, POR,2020.0,29.41666666666667,1990-07-15
5,Kawhi Leonard, LAC,2020.0,28.5,1991-06-29
6,Karl-Anthony Towns, MIN,2020.0,24.08333333333333,1995-11-15
7,Kyrie Irving, BKN,2020.0,27.75,1992-03-23
8,Joel Embiid, PHI,2020.0,25.75,1994-03-16
9,LeBron James, LAL,2020.0,35.0,1984-12-30
10,Hassan Whiteside, POR,2020.0,30.5,1989-06-13
11,Nikola Jokic, DEN,,,
12,Zion Williamson, NO,2020.0,19.416666666666668,2000-07-06
13,Trae Young, ATL,2020.0,21.25,1998-09-19
14,Jimmy Butler, MIA,2020.0,30.25,1989-09-14
15,John Collins, ATL,2020.0,22.25,1997-09-23
16,Mitchell Robinson, NY,2020.0,21.75,1998-04-01
17,Montrezl Harrell, LAC,2020.0,25.91666666666667,1994-01-26
18,Bradley Beal, WSH,2020.0,26.5,1993-06-28
19,Christian Wood, DET,2020.0,24.25,1995-09-27
20,Enes Kanter, BOS,2020.0,27.58333333333333,1992-05-20
21,Jonas Valanciunas, MEM,,,
22,Andre Drummond, CLE/DET,2020.0,26.33333333333333,1993-08-10
23,Nikola Vucevic, ORL,,,
24,Tony Bradley, UTAH,2020.0,21.91666666666667,1998-01-08
25,Ivica Zubac, LAC,2020.0,22.75,1997-03-18
26,Rudy Gobert, UTAH,2020.0,27.5,1992-06-26
27,Chris Paul, OKC,2020.0,34.583333333333336,1985-05-06
28,DeMar DeRozan, SA,2020.0,30.33333333333333,1989-08-07
29,Khris Middleton, MIL,2020.0,28.33333333333333,1991-08-12
30,Thomas Bryant, WSH,2020.0,22.41666666666667,1997-07-31
31,Paul George, LAC,2020.0,29.58333333333333,1990-05-02
32,Derrick Rose, DET,2020.0,31.16666666666667,1988-10-04
33,Russell Westbrook, HOU,2020.0,31.08333333333333,1988-11-12
34,Brandon Clarke, MEM,2020.0,23.25,1996-09-19
35,Chris Boucher, TOR,2020.0,26.91666666666667,1993-01-11
36,Domantas Sabonis, IND,2020.0,23.58333333333333,1996-05-03
37,De'Aaron Fox, SAC,2020.0,22.0,1997-12-20
38,Jarrett Allen, BKN,2020.0,21.66666666666667,1998-04-21
39,Devin Booker, PHX,2020.0,23.16666666666667,1996-10-30
40,Clint Capela, HOU,2020.0,25.58333333333333,1994-05-18
41,Steven Adams, OKC,2020.0,26.41666666666667,1993-07-20
42,Ben Simmons, PHI,2020.0,23.41666666666667,1996-07-20
43,Nerlens Noel, OKC,2020.0,25.66666666666667,1994-04-10
44,Jayson Tatum, BOS,2020.0,21.75,1998-03-03
45,Bam Adebayo, MIA,2020.0,22.41666666666667,1997-07-18
46,Kristaps Porzingis, DAL,,,
47,Deandre Ayton, PHX,2020.0,21.416666666666668,1998-07-23
48,Kemba Walker, BOS,2020.0,29.58333333333333,1990-05-08
49,DeAndre Jordan, BKN,2020.0,31.41666666666667,1988-07-21
