,Player,Height_inches,Position,Jersey_Number,Experience
0,Breanna Stewart,76.0,F,30,3
1,A'Ja Wilson,,,,
2,Napheesa Collier,73.0,F,24,1
3,Candace Parker,76.0,F-C,3,12
4,Alyssa Thomas,74.0,F,25,6
5,Myisha Hines-Allen,73.0,F,2,2
6,Courtney Vandersloot,68.0,G,22,9
7,Dewanna Bonner,,,,
8,Diana Taurasi,72.0,G,3,15
9,Dearica Hamby,75.0,F,5,5
10,Betnijah Laney,72.0,G-F,44,4
11,Skylar Diggins-Smith,69.0,G,4,6
12,Angel Mccoughtry,,,,
13,Arike Ogunbowale,68.0,G,24,1
14,Cheyenne Parker,76.0,F,32,5
15,Emma Meesseman,76.0,F,33,6
16,Satou Sabally,,,,
17,Nneka Ogwumike,74.0,F,30,8
18,Damiris Dantas,75.0,F,12,5
19,Alysha Clark,71.0,F,32,8
20,Chelsea Gray,71.0,G,12,5
21,Brionna Jones,75.0,F,42,3
22,Kahleah Copper,73.0,G-F,2,4
23,Julie Allemand,,,,
24,Candice Dupree,74.0,F,4,14
25,Courtney Williams,68.0,G,10,4
26,Natasha Howard,74.0,F,6,6
27,Jewell Loyd,70.0,G,24,5
28,Teaira Mccowan,,,,
29,Chennedy Carter,,,,
30,Ariel Atkins,68.0,G,7,2
31,Crystal Dangerfield,,,,
32,Elizabeth Williams,75.0,C-F,1,4
33,Allisha Gray,72.0,G,15,3
34,Kelsey Mitchell,68.0,G,0,2
35,Monique Billings,76.0,F,25,2
36,Allie Quigley,70.0,G,14,11
37,Amanda Zahui B,77.0,C,17,5
38,Jackie Young,72.0,G,0,1
39,Leilani Mitchell,65.0,G,5,11
40,Kayla Mcbride,,,,
41,Marina Mabrey,71.0,G,5,1
42,Brittney Sykes,69.0,G,15,3
43,Layshia Clarendon,69.0,G,7,7
44,Jazmine Jones,,,,
45,Tiffany Mitchell,69.0,G,25,4
46,Riquna Williams,67.0,G,2,7
47,Jasmine Thomas,69.0,G,5,9
48,Tianna Hawkins,75.0,F,21,6
49,Kia Nurse,72.0,G,5,2
